givid,id,family
544,J292A_5477,J243_0784/J243_3132
545,J292A_5514,J243_0784/J243_3132
546,J292A_5571,J243_0760/J243_1814
547,J292A_5575,J243_1469/J243_1408
548,J292A_5591,J243_3222/J243_2545
549,J292A_5656,J243_3125/J243_2929
550,J292A_5745,J243_0375/J243_0619
551,J292A_5895,J243_0663/J243_0352
552,J292A_5984,J243_2961/J243_0106
553,J292A_6059,J243_0539/J243_3553
554,J292A_6201,J243_1913/J243_0181
555,J292A_6331,J243_3077/J243_1611
556,J292A_6340,J243_0048/J243_0855
557,J292A_6355,J243_3100/J243_2748
558,J292A_6357,J243_0551/J243_1520
559,J292A_6450,J243_0672/J243_1101
560,J292A_6458,J243_2791/J243_2822
561,J292A_6511,J243_0300/J243_0965
562,J292A_6615,J243_3124/J243_2779
563,J292B_0949,J243_3077/J243_1649
564,J292B_1237,J243_1902/J243_0402
565,J292B_1285,J243_0120/J243_0783
566,J292B_1368,J243_1450/J243_0410
567,J292B_1394,J243_1126/J243_1953
568,J292B_1408,J243_1570/J243_0837
569,J292B_1413,J243_0098/J243_2893
570,J292B_1418,J243_0098/J243_0492
571,J292B_1552,J243_1683/J243_0109
572,J292B_2558,J243_1981/J243_2026
573,J292B_2608,J243_3089/J243_1184
574,J292B_2650,J243_0375/J243_3210
575,J292B_2724,J243_0951/J243_0101
576,J292B_2765,J243_0770/J243_2047
577,J292B_2798,J243_1492/J243_2758
578,J292B_2804,J243_1469/J243_1408
579,J292B_2841,J243_1670/J243_2516
580,J292B_2843,J243_2961/J243_0106
581,J292B_2903,J243_1951/J243_0004
582,J292B_2904,J243_0551/J243_1520
583,J292B_2956,J243_3125/J243_1695
584,J292B_2978,J243_2961/J243_1117
585,J292B_3096,J243_0300/J243_0965
586,J292B_3099,J243_0048/J243_0855
587,J292B_3121,J243_0760/J243_0798
588,J292B_3183,J243_1882/J243_3574
